City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,luderitz,-26.6481,15.1594,288.25,82,49,3.42,NA,1681952268
159,bluff,-46.6,168.3333,287.35,74,100,2.77,NZ,1681952268
160,leningradskiy,69.3833,178.4167,274.68,92,100,1.99,RU,1681952269
161,xingcheng,40.6167,120.7167,282.27,61,100,8.71,CN,1681952269
162,lanas,12.0495,121.9185,301.34,77,0,3.66,PH,1681952269
163,tashla,51.7716,52.7427,279.91,55,100,2.53,RU,1681952269
164,dingle,10.9995,122.6711,303.58,62,5,2.16,PH,1681952269
165,avarua,-21.2078,-159.775,299.18,89,75,6.69,CK,1681952269
166,nishihara,26.1842,127.7558,298.18,94,100,6.17,JP,1681952269
167,ambilobe,-13.2,49.05,295.34,92,94,1.25,MG,1681952269
168,voh,-20.9667,164.7,301.49,62,0,2.02,NC,1681952269
169,yen bai,21.7,104.8667,299.55,89,98,0.89,VN,1681952269
170,flin flon,54.7682,-101.865,271.28,90,100,5.1,CA,1681952269
171,bathsheba,13.2167,-59.5167,299.49,78,40,5.14,BB,1681952269
172,saskylakh,71.9167,114.0833,255.4,98,98,2.13,RU,1681952270
173,uruzgan,32.8333,66.0,282.9,62,0,2.37,AF,1681952270
174,cassilandia,-19.1133,-51.7342,293.08,83,100,1.78,BR,1681952270
175,tuktoyaktuk,69.4541,-133.0374,267.15,86,100,3.09,CA,1681952270
176,kanina,-10.7341,25.4699,287.84,95,13,3.22,CD,1681952270
177,cartagena,10.3997,-75.5144,300.94,74,0,3.09,CO,1681952115
178,east london,-33.0153,27.9116,300.85,27,94,5.42,ZA,1681952270
179,port blair,11.6667,92.75,301.94,69,49,3.11,IN,1681952270
180,kungurtug,50.5994,97.5228,266.37,72,95,0.65,RU,1681952270
181,bouna,9.2667,-3.0,299.79,58,100,1.21,CI,1681952270
182,bethel,41.3712,-73.414,284.2,62,0,1.54,US,1681952186
183,thompson,55.7435,-97.8558,273.24,51,75,5.66,CA,1681952270
184,uri,34.0833,74.0333,283.73,94,64,2.43,IN,1681952270
185,yining,29.0361,114.5636,297.38,79,0,0.96,CN,1681952271
186,sinjai,-5.1241,120.253,301.18,80,54,0.35,ID,1681952271
187,hirara,24.8,125.2833,299.3,89,75,10.8,JP,1681952271
188,progreso,21.2833,-89.6667,298.11,75,5,8.52,MX,1681952122
189,melilla,35.2937,-2.9383,290.36,82,75,2.57,ES,1681952271
190,barrow,71.2906,-156.7887,265.16,73,100,3.6,US,1681952271
191,gondanglegi,-7.7479,112.0132,300.65,80,76,4.46,ID,1681952271
192,kjopsvik,68.097,16.3742,278.08,99,100,2.51,NO,1681952271
193,pisco,-13.7,-76.2167,294.27,88,0,6.69,PE,1681952077
194,kapaa,22.0752,-159.319,301.03,63,40,7.2,US,1681952271
195,christchurch,-43.5333,172.6333,290.9,78,75,6.17,NZ,1681952250
196,penalva,-3.2942,-45.1736,296.58,97,100,0.75,BR,1681952271
197,sturgis,41.7992,-85.4192,290.96,41,0,6.17,US,1681952271
198,solnechnyy,50.7214,136.6319,275.46,94,100,1.64,RU,1681952271
199,mackenzie,55.2999,-123.1698,278.27,75,100,3.09,CA,1681952272
200,yulara,-25.2406,130.9889,291.15,44,0,9.19,AU,1681952272
201,klaksvik,62.2266,-6.589,279.66,80,6,4.8,FO,1681952272
202,swan river,52.1058,-101.2676,270.09,93,100,7.2,CA,1681952272
203,gat,31.61,34.7642,293.05,100,64,3.42,IL,1681952272
204,camana,-16.6228,-72.7111,294.36,77,52,1.44,PE,1681952272
205,mazarron,37.5992,-1.3149,289.7,70,100,2.34,ES,1681952272
206,hamilton,39.1834,-84.5333,297.12,42,0,4.12,US,1681952085
207,terrace,54.5163,-128.6035,288.1,28,75,3.6,CA,1681952162
